"Scenario","A","B","KM_Mean","Hybrid_Mean","KM_MAE","Hybrid_MAE","KM_SD","Hybrid_SD","KM_Min","KM_Max","Hybrid_Min","Hybrid_Max"
"No censoring",0,0,2.9967833565313,2.9967833565313,0.111051051601997,0.111051051601997,0.136956556366551,0.136956556366551,2.67634333934132,3.3062587442452,2.67634333934132,3.3062587442452
"Light (20%)",0.1,0.1,2.60789938533642,3.4654509933562,0.39210061466358,0.6205549593529,0.0920107433075063,1.78924553975067,2.32430550343408,2.81468152202683,2.55160676532451,22.597045887732
"Moderate (30%)",0.15,0.15,2.35225787233655,6.06649535198808,0.647742127663446,3.31074539152428,0.0750497366840738,30.1693529973789,2.12063141613427,2.59374589822816,2.3425814702431,410.204328908952
"Heavy (50%)",0.25,0.25,1.78405554313245,4.26124076809493,1.21594445686755,2.06645176039839,0.0478278139953124,5.64830962174218,1.66425144426132,1.91995650214686,1.84093970134294,54.9827836798015
