"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"Moderate (30%)",3,0.15,0.15,31,2.17872374612317,2.99919388300335,-0.821276253876825,-0.00080611699665134
"Moderate (30%)",3,0.15,0.15,32,2.385002310116,3.09341546862661,-0.614997689884003,0.0934154686266075
"Moderate (30%)",3,0.15,0.15,33,2.41464058494744,3.38747285750843,-0.58535941505256,0.387472857508434
"Moderate (30%)",3,0.15,0.15,34,2.34947915878776,5.11970232197829,-0.650520841212244,2.11970232197829
"Moderate (30%)",3,0.15,0.15,35,2.49824481783266,4.01469434777764,-0.501755182167343,1.01469434777764
"Moderate (30%)",3,0.15,0.15,36,2.34830876254635,2.55114127135966,-0.651691237453652,-0.448858728640341
"Moderate (30%)",3,0.15,0.15,37,2.34519554115811,NA,-0.654804458841894,NA
"Moderate (30%)",3,0.15,0.15,38,2.45209188981907,3.27632651138823,-0.547908110180928,0.276326511388227
"Moderate (30%)",3,0.15,0.15,39,2.4277814936765,4.99665149906674,-0.572218506323502,1.99665149906674
"Moderate (30%)",3,0.15,0.15,40,2.35886214796296,2.95861588789732,-0.641137852037043,-0.0413841121026817
"Moderate (30%)",3,0.15,0.15,41,2.25966735608609,4.15959262382402,-0.740332643913907,1.15959262382402
"Moderate (30%)",3,0.15,0.15,42,2.44515841160839,3.42812795473211,-0.554841588391609,0.428127954732111
"Moderate (30%)",3,0.15,0.15,43,2.32653958912321,3.8445911387913,-0.673460410876791,0.8445911387913
"Moderate (30%)",3,0.15,0.15,44,2.32731363591501,2.93949899902517,-0.672686364084994,-0.0605010009748326
"Moderate (30%)",3,0.15,0.15,45,2.33386647239503,2.80562265246743,-0.666133527604973,-0.19437734753257
"Moderate (30%)",3,0.15,0.15,46,2.36688729861696,4.00925188160544,-0.633112701383042,1.00925188160544
"Moderate (30%)",3,0.15,0.15,47,2.40389785561111,2.67032457728706,-0.596102144388891,-0.329675422712939
"Moderate (30%)",3,0.15,0.15,48,2.40164026531897,3.9123244245648,-0.59835973468103,0.912324424564802
"Moderate (30%)",3,0.15,0.15,49,2.36276123407114,8.89618974606529,-0.637238765928859,5.89618974606529
"Moderate (30%)",3,0.15,0.15,50,2.4292062918888,NA,-0.570793708111196,NA
"Moderate (30%)",3,0.15,0.15,51,2.28629002799468,2.98056427131385,-0.713709972005325,-0.0194357286861488
"Moderate (30%)",3,0.15,0.15,52,2.30585053462865,4.96765538281098,-0.694149465371348,1.96765538281098
"Moderate (30%)",3,0.15,0.15,53,2.43350580709905,5.0064808124574,-0.566494192900945,2.0064808124574
"Moderate (30%)",3,0.15,0.15,54,2.18598599522281,2.60530121005735,-0.814014004777191,-0.394698789942651
"Moderate (30%)",3,0.15,0.15,55,2.4341707257836,2.63181626033448,-0.565829274216395,-0.368183739665522
"Moderate (30%)",3,0.15,0.15,56,2.35703833640773,3.33572543866592,-0.642961663592274,0.335725438665918
"Moderate (30%)",3,0.15,0.15,57,2.20905578956835,4.41395478856474,-0.790944210431653,1.41395478856474
"Moderate (30%)",3,0.15,0.15,58,2.32655222279053,3.1650560966502,-0.673447777209468,0.165056096650196
"Moderate (30%)",3,0.15,0.15,59,2.54684329659607,NA,-0.453156703403931,NA
"Moderate (30%)",3,0.15,0.15,60,2.32798434481072,NA,-0.672015655189281,NA
"Moderate (30%)",3,0.15,0.15,61,2.32699933013913,NA,-0.67300066986087,NA
"Moderate (30%)",3,0.15,0.15,62,2.35350416362742,3.25483172087433,-0.646495836372581,0.254831720874329
"Moderate (30%)",3,0.15,0.15,63,2.36045285220168,3.07538444891618,-0.639547147798323,0.0753844489161772
"Moderate (30%)",3,0.15,0.15,64,2.39773009014962,4.7474113023716,-0.602269909850376,1.7474113023716
"Moderate (30%)",3,0.15,0.15,65,2.35570698600988,3.71033998390282,-0.644293013990117,0.710339983902816
"Moderate (30%)",3,0.15,0.15,66,2.37458950907267,2.9483678792383,-0.625410490927329,-0.0516321207616963
"Moderate (30%)",3,0.15,0.15,67,2.36403110621998,2.71968691071619,-0.635968893780024,-0.280313089283813
"Moderate (30%)",3,0.15,0.15,68,2.40056797634936,2.93549162525667,-0.599432023650637,-0.0645083747433284
"Moderate (30%)",3,0.15,0.15,69,2.30841778923808,2.97637020201941,-0.691582210761924,-0.0236297979805871
"Moderate (30%)",3,0.15,0.15,70,2.33139473861952,3.51746719920009,-0.668605261380483,0.517467199200093
"Moderate (30%)",3,0.15,0.15,71,2.46110133770838,2.65942997314747,-0.538898662291615,-0.340570026852531
"Moderate (30%)",3,0.15,0.15,72,2.33578229650507,3.46882839578539,-0.664217703494931,0.468828395785389
"Moderate (30%)",3,0.15,0.15,73,2.45994258833652,2.83117315372716,-0.540057411663478,-0.168826846272842
"Moderate (30%)",3,0.15,0.15,74,2.45399042469345,2.78442830846048,-0.546009575306555,-0.215571691539515
"Moderate (30%)",3,0.15,0.15,75,2.29979634623512,3.05402308815366,-0.700203653764877,0.0540230881536581
"Moderate (30%)",3,0.15,0.15,76,2.33439563849829,3.20199475837894,-0.66560436150171,0.20199475837894
"Moderate (30%)",3,0.15,0.15,77,2.29990478909668,4.01212518940144,-0.700095210903315,1.01212518940144
"Moderate (30%)",3,0.15,0.15,78,2.35480176156385,2.67270176092615,-0.645198238436151,-0.32729823907385
"Moderate (30%)",3,0.15,0.15,79,2.30038496562553,3.3674123345946,-0.699615034374475,0.367412334594599
"Moderate (30%)",3,0.15,0.15,80,2.29176724851971,2.48204734980613,-0.708232751480291,-0.517952650193875
"Moderate (30%)",3,0.15,0.15,81,2.37743909509873,5.42651272463926,-0.622560904901272,2.42651272463926
"Moderate (30%)",3,0.15,0.15,82,2.38201999211477,2.68945329135198,-0.617980007885228,-0.310546708648016
"Moderate (30%)",3,0.15,0.15,83,2.4444421765911,3.49133671188736,-0.555557823408895,0.491336711887362
"Moderate (30%)",3,0.15,0.15,84,2.3647067211198,3.55532730029476,-0.6352932788802,0.555327300294757
"Moderate (30%)",3,0.15,0.15,85,2.37288970144242,2.72777414967863,-0.627110298557581,-0.272225850321368
"Moderate (30%)",3,0.15,0.15,86,2.38185295476047,8.07894428801696,-0.618147045239527,5.07894428801696
"Moderate (30%)",3,0.15,0.15,87,2.32946659105141,2.5292463050138,-0.670533408948589,-0.4707536949862
"Moderate (30%)",3,0.15,0.15,88,2.35091339956797,3.09194719933568,-0.649086600432033,0.0919471993356762
"Moderate (30%)",3,0.15,0.15,89,2.32696827852739,4.31163225935108,-0.673031721472609,1.31163225935108
"Moderate (30%)",3,0.15,0.15,90,2.47133877234288,3.02593752892683,-0.528661227657124,0.0259375289268302
"Moderate (30%)",3,0.15,0.15,91,2.54309897029414,NA,-0.456901029705856,NA
"Moderate (30%)",3,0.15,0.15,92,2.42879604195939,3.08365748442747,-0.571203958040607,0.0836574844274667
"Moderate (30%)",3,0.15,0.15,93,2.4312187577197,4.64763332123586,-0.568781242280299,1.64763332123586
"Moderate (30%)",3,0.15,0.15,94,2.35559003737535,2.61461309195645,-0.644409962624654,-0.385386908043547
"Moderate (30%)",3,0.15,0.15,95,2.3753884209527,8.7212580136707,-0.624611579047298,5.7212580136707
"Moderate (30%)",3,0.15,0.15,96,2.37802404020158,4.56056884925706,-0.621975959798422,1.56056884925706
"Moderate (30%)",3,0.15,0.15,97,2.25475784949727,3.08210512808337,-0.745242150502727,0.0821051280833656
"Moderate (30%)",3,0.15,0.15,98,2.19324094088092,3.28245688848551,-0.806759059119079,0.282456888485513
"Moderate (30%)",3,0.15,0.15,99,2.25044019922804,2.91745723850351,-0.749559800771962,-0.0825427614964864
"Moderate (30%)",3,0.15,0.15,100,2.2548197198638,3.61624760075571,-0.745180280136196,0.616247600755715
"Moderate (30%)",3,0.15,0.15,101,2.42323189281497,3.72673228037376,-0.576768107185034,0.726732280373757
"Moderate (30%)",3,0.15,0.15,102,2.29101755410544,3.15895470143543,-0.708982445894555,0.15895470143543
"Moderate (30%)",3,0.15,0.15,103,2.28512506614724,2.56114543373422,-0.714874933852759,-0.43885456626578
"Moderate (30%)",3,0.15,0.15,104,2.43853706160246,2.63539052993511,-0.561462938397542,-0.364609470064889
"Moderate (30%)",3,0.15,0.15,105,2.37775330686482,2.84693485874071,-0.622246693135182,-0.153065141259292
"Moderate (30%)",3,0.15,0.15,106,2.36551934971612,3.6454667470005,-0.634480650283885,0.6454667470005
"Moderate (30%)",3,0.15,0.15,107,2.38152307303029,3.75930385531045,-0.618476926969715,0.759303855310451
"Moderate (30%)",3,0.15,0.15,108,2.37920707431117,9.66241786085113,-0.62079292568883,6.66241786085113
"Moderate (30%)",3,0.15,0.15,109,2.2822130328328,2.59091962694158,-0.717786967167195,-0.409080373058423
"Moderate (30%)",3,0.15,0.15,110,2.29796477600282,3.45470051088855,-0.702035223997183,0.454700510888554
"Moderate (30%)",3,0.15,0.15,111,2.27496711649638,2.75135874244065,-0.725032883503621,-0.248641257559353
"Moderate (30%)",3,0.15,0.15,112,2.35267468919271,3.22943492237228,-0.647325310807287,0.229434922372281
"Moderate (30%)",3,0.15,0.15,113,2.24163108144095,2.3425814702431,-0.758368918559046,-0.657418529756898
"Moderate (30%)",3,0.15,0.15,114,2.39666136135093,3.19524068241639,-0.603338638649074,0.19524068241639
"Moderate (30%)",3,0.15,0.15,115,2.59374589822816,4.40115266170065,-0.406254101771839,1.40115266170065
"Moderate (30%)",3,0.15,0.15,116,2.34070757634725,11.6782230722007,-0.65929242365275,8.67822307220069
"Moderate (30%)",3,0.15,0.15,117,2.43335130230243,NA,-0.566648697697572,NA
"Moderate (30%)",3,0.15,0.15,118,2.37376110254934,3.84581285400133,-0.626238897450662,0.845812854001332
"Moderate (30%)",3,0.15,0.15,119,2.54227853129623,2.84702452984719,-0.457721468703772,-0.152975470152814
"Moderate (30%)",3,0.15,0.15,120,2.29385982188234,2.42806967519559,-0.706140178117663,-0.571930324804414
"Moderate (30%)",3,0.15,0.15,121,2.36211104829272,6.18861765055468,-0.637888951707283,3.18861765055468
"Moderate (30%)",3,0.15,0.15,122,2.44089371749045,2.87036763906988,-0.559106282509546,-0.129632360930125
"Moderate (30%)",3,0.15,0.15,123,2.27523989935124,3.36203950730716,-0.724760100648763,0.362039507307159
"Moderate (30%)",3,0.15,0.15,124,2.25974228009486,3.41437770353866,-0.740257719905141,0.414377703538665
"Moderate (30%)",3,0.15,0.15,125,2.4027778831869,NA,-0.597222116813096,NA
"Moderate (30%)",3,0.15,0.15,126,2.25992114971879,2.63945141725952,-0.740078850281205,-0.360548582740481
"Moderate (30%)",3,0.15,0.15,127,2.42108555095663,2.73830429653088,-0.57891444904337,-0.26169570346912
"Moderate (30%)",3,0.15,0.15,128,2.34363115455896,NA,-0.656368845441037,NA
"Moderate (30%)",3,0.15,0.15,129,2.33762288052893,2.60442178425372,-0.662377119471068,-0.395578215746282
"Moderate (30%)",3,0.15,0.15,130,2.42286833479308,7.33017383617823,-0.577131665206923,4.33017383617823
"Moderate (30%)",3,0.15,0.15,131,2.47978921241361,2.81502345909812,-0.520210787586393,-0.184976540901884
"Moderate (30%)",3,0.15,0.15,132,2.48361681941577,4.06804897860298,-0.516383180584235,1.06804897860298
"Moderate (30%)",3,0.15,0.15,133,2.2837646828871,3.21020296205835,-0.716235317112895,0.21020296205835
"Moderate (30%)",3,0.15,0.15,134,2.37025335082727,3.50163335022856,-0.629746649172728,0.50163335022856
"Moderate (30%)",3,0.15,0.15,135,2.43401107812747,6.39233582074409,-0.565988921872535,3.39233582074409
"Moderate (30%)",3,0.15,0.15,136,2.32861625654766,NA,-0.671383743452343,NA
