"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"Light (20%)",2,0.1,0.1,1,2.58125210915311,3.76676345584802,-0.418747890846889,0.76676345584802
"Light (20%)",2,0.1,0.1,2,2.60882826084981,3.00920061551713,-0.39117173915019,0.00920061551712603
"Light (20%)",2,0.1,0.1,3,2.64032702740799,2.89581230600965,-0.35967297259201,-0.104187693990348
"Light (20%)",2,0.1,0.1,4,2.63363767667887,4.18794645107999,-0.366362323321128,1.18794645107999
"Light (20%)",2,0.1,0.1,5,2.43046447621913,2.86870250037485,-0.569535523780868,-0.131297499625149
"Light (20%)",2,0.1,0.1,6,2.6096353181596,2.7142392213098,-0.390364681840399,-0.285760778690204
"Light (20%)",2,0.1,0.1,7,2.5400102918065,2.77174305355859,-0.459989708193496,-0.228256946441406
"Light (20%)",2,0.1,0.1,8,2.65953588662837,3.5856896062038,-0.340464113371632,0.5856896062038
"Light (20%)",2,0.1,0.1,9,2.69691295895187,3.42175800061945,-0.303087041048134,0.421758000619447
"Light (20%)",2,0.1,0.1,10,2.65866850505579,2.98696880094998,-0.341331494944207,-0.0130311990500158
"Light (20%)",2,0.1,0.1,11,2.65898324977225,2.96183618025667,-0.34101675022775,-0.0381638197433332
"Light (20%)",2,0.1,0.1,12,2.69975301817773,3.03179548105799,-0.300246981822271,0.0317954810579892
"Light (20%)",2,0.1,0.1,13,2.66016473237339,3.10018991003535,-0.33983526762661,0.100189910035352
"Light (20%)",2,0.1,0.1,14,2.48985733183639,3.71205401585651,-0.510142668163607,0.712054015856515
"Light (20%)",2,0.1,0.1,15,2.61347670459529,3.2430455623805,-0.386523295404708,0.243045562380498
"Light (20%)",2,0.1,0.1,16,2.59871920008897,3.07938252907549,-0.401280799911029,0.0793825290754864
"Light (20%)",2,0.1,0.1,17,2.64180390560629,2.90112571372445,-0.358196094393707,-0.0988742862755494
"Light (20%)",2,0.1,0.1,18,2.49706158595592,8.58560029670509,-0.502938414044078,5.58560029670509
"Light (20%)",2,0.1,0.1,19,2.55150718363999,2.81432994304717,-0.448492816360012,-0.185670056952826
"Light (20%)",2,0.1,0.1,20,2.62877465047905,3.07699120509052,-0.371225349520945,0.0769912050905188
"Light (20%)",2,0.1,0.1,21,2.69978371583396,3.37166276390332,-0.300216284166039,0.371662763903323
"Light (20%)",2,0.1,0.1,22,2.51359804118438,2.71091765345699,-0.486401958815617,-0.289082346543014
"Light (20%)",2,0.1,0.1,23,2.47201833899271,3.11475542604045,-0.527981661007288,0.114755426040452
"Light (20%)",2,0.1,0.1,24,2.61712087308039,2.89162565910184,-0.382879126919614,-0.108374340898155
"Light (20%)",2,0.1,0.1,25,2.70707692532284,2.89604231115496,-0.292923074677159,-0.103957688845038
"Light (20%)",2,0.1,0.1,26,2.73346861143146,3.17649488336383,-0.266531388568535,0.176494883363832
"Light (20%)",2,0.1,0.1,27,2.6577570392376,2.80502544182838,-0.342242960762396,-0.194974558171623
"Light (20%)",2,0.1,0.1,28,2.75242938018804,3.06795930193027,-0.247570619811964,0.0679593019302667
"Light (20%)",2,0.1,0.1,29,2.51913005557788,2.82037753941331,-0.480869944422122,-0.179622460586693
"Light (20%)",2,0.1,0.1,30,2.47041171035798,2.67728202853517,-0.529588289642021,-0.322717971464828
"Light (20%)",2,0.1,0.1,31,2.62298270093114,2.77496513150643,-0.377017299068862,-0.22503486849357
"Light (20%)",2,0.1,0.1,32,2.69217357213282,3.12078335565736,-0.307826427867177,0.120783355657359
"Light (20%)",2,0.1,0.1,33,2.57543755180002,3.19166238169995,-0.42456244819998,0.191662381699949
"Light (20%)",2,0.1,0.1,34,2.43690140240799,2.57695807364531,-0.563098597592008,-0.423041926354686
"Light (20%)",2,0.1,0.1,35,2.63395973597559,2.93583606716169,-0.366040264024413,-0.064163932838313
"Light (20%)",2,0.1,0.1,36,2.57511172344288,2.78531652188322,-0.424888276557121,-0.214683478116777
"Light (20%)",2,0.1,0.1,37,2.59394547581002,5.56301578588918,-0.406054524189975,2.56301578588918
"Light (20%)",2,0.1,0.1,38,2.61051631310269,2.76884152588915,-0.389483686897308,-0.23115847411085
"Light (20%)",2,0.1,0.1,39,2.78307535006205,2.96327601172669,-0.216924649937947,-0.0367239882733097
"Light (20%)",2,0.1,0.1,40,2.62509782255028,3.14672243068372,-0.374902177449718,0.146722430683719
"Light (20%)",2,0.1,0.1,41,2.56574381547566,2.99144941872964,-0.434256184524339,-0.00855058127036346
"Light (20%)",2,0.1,0.1,42,2.61290812856725,2.79034909677404,-0.387091871432747,-0.209650903225964
"Light (20%)",2,0.1,0.1,43,2.68771372497227,3.20801575769996,-0.31228627502773,0.208015757699957
"Light (20%)",2,0.1,0.1,44,2.62897167548748,2.76981074524792,-0.371028324512524,-0.230189254752077
"Light (20%)",2,0.1,0.1,45,2.55907388983281,22.597045887732,-0.440926110167188,19.597045887732
"Light (20%)",2,0.1,0.1,46,2.46212691182969,3.96372054409442,-0.537873088170306,0.963720544094423
"Light (20%)",2,0.1,0.1,47,2.62977192974614,9.51636998342535,-0.370228070253864,6.51636998342535
"Light (20%)",2,0.1,0.1,48,2.62251149878573,2.80690816219205,-0.377488501214267,-0.193091837807954
"Light (20%)",2,0.1,0.1,49,2.78141550433013,3.02440647011985,-0.218584495669865,0.024406470119847
"Light (20%)",2,0.1,0.1,50,2.52555415937348,2.89564596327454,-0.474445840626525,-0.104354036725464
"Light (20%)",2,0.1,0.1,51,2.52638331519172,2.74168738504211,-0.473616684808277,-0.258312614957887
"Light (20%)",2,0.1,0.1,52,2.66828930313302,3.31569397206715,-0.331710696866982,0.315693972067154
"Light (20%)",2,0.1,0.1,53,2.65831083105894,8.61185293467794,-0.341689168941064,5.61185293467794
"Light (20%)",2,0.1,0.1,54,2.65800562534229,2.76826600563738,-0.341994374657714,-0.23173399436262
"Light (20%)",2,0.1,0.1,55,2.67110458162066,3.10239125333326,-0.328895418379344,0.102391253333261
"Light (20%)",2,0.1,0.1,56,2.7204606662827,3.44118805096517,-0.279539333717303,0.441188050965172
"Light (20%)",2,0.1,0.1,57,2.46703843542644,2.64498374824125,-0.53296156457356,-0.355016251758749
"Light (20%)",2,0.1,0.1,58,2.36407658310804,2.55160676532451,-0.635923416891961,-0.448393234675487
"Light (20%)",2,0.1,0.1,59,2.68505272213226,4.12645908025959,-0.31494727786774,1.12645908025959
"Light (20%)",2,0.1,0.1,60,2.50565426001185,3.01343114794762,-0.49434573998815,0.0134311479476179
"Light (20%)",2,0.1,0.1,61,2.57572733351697,2.83583311354851,-0.424272666483033,-0.164166886451487
"Light (20%)",2,0.1,0.1,62,2.68675095783715,2.90595227174072,-0.313249042162854,-0.0940477282592775
"Light (20%)",2,0.1,0.1,63,2.70298613739431,3.26136093267701,-0.297013862605688,0.261360932677007
"Light (20%)",2,0.1,0.1,64,2.81468152202683,3.42123358980397,-0.185318477973167,0.421233589803973
"Light (20%)",2,0.1,0.1,65,2.51834122644827,3.46195481375397,-0.481658773551727,0.461954813753966
"Light (20%)",2,0.1,0.1,66,2.58800323007012,3.1306789493337,-0.411996769929877,0.130678949333701
"Light (20%)",2,0.1,0.1,67,2.56638075971473,3.59796480916642,-0.433619240285275,0.597964809166416
"Light (20%)",2,0.1,0.1,68,2.5738770203742,2.83517223076595,-0.426122979625803,-0.164827769234049
"Light (20%)",2,0.1,0.1,69,2.49714329064473,3.19615860354948,-0.502856709355269,0.196158603549484
"Light (20%)",2,0.1,0.1,70,2.55908781273778,2.95119278724826,-0.440912187262224,-0.0488072127517367
"Light (20%)",2,0.1,0.1,71,2.57701369344765,2.69963751415323,-0.422986306552353,-0.300362485846769
"Light (20%)",2,0.1,0.1,72,2.54377726290309,3.16482532000091,-0.456222737096914,0.164825320000911
"Light (20%)",2,0.1,0.1,73,2.68586849218947,2.92112097201689,-0.314131507810535,-0.0788790279831142
"Light (20%)",2,0.1,0.1,74,2.65595720801122,3.22110396083413,-0.344042791988784,0.22110396083413
"Light (20%)",2,0.1,0.1,75,2.71917589000364,2.82180692456865,-0.28082410999636,-0.178193075431351
"Light (20%)",2,0.1,0.1,76,2.59037513670255,3.20666245733059,-0.409624863297446,0.206662457330586
"Light (20%)",2,0.1,0.1,77,2.64041314369729,3.03826150932234,-0.359586856302708,0.0382615093223446
"Light (20%)",2,0.1,0.1,78,2.77724901497204,3.07524187246523,-0.222750985027957,0.0752418724652255
"Light (20%)",2,0.1,0.1,79,2.79920174310797,3.36356452290864,-0.200798256892028,0.36356452290864
"Light (20%)",2,0.1,0.1,80,2.60681151201382,3.06037396436341,-0.393188487986183,0.0603739643634063
"Light (20%)",2,0.1,0.1,81,2.7678458477356,2.89836584306227,-0.232154152264396,-0.10163415693773
"Light (20%)",2,0.1,0.1,82,2.49974149741968,3.51512085728714,-0.500258502580319,0.515120857287142
"Light (20%)",2,0.1,0.1,83,2.67897913614486,4.1677308633622,-0.321020863855137,1.1677308633622
"Light (20%)",2,0.1,0.1,84,2.46320221143043,3.23776153918117,-0.536797788569571,0.237761539181166
"Light (20%)",2,0.1,0.1,85,2.79785136328226,3.26085727095015,-0.202148636717745,0.260857270950151
"Light (20%)",2,0.1,0.1,86,2.64436744451466,2.84974861002719,-0.355632555485341,-0.150251389972812
"Light (20%)",2,0.1,0.1,87,2.40621706531006,2.99743574620961,-0.593782934689944,-0.00256425379038649
"Light (20%)",2,0.1,0.1,88,2.69757337393214,2.93388080571529,-0.302426626067856,-0.0661191942847079
"Light (20%)",2,0.1,0.1,89,2.58506951049028,3.08590246017128,-0.414930489509716,0.0859024601712783
"Light (20%)",2,0.1,0.1,90,2.69979370107202,2.82117934652714,-0.300206298927984,-0.178820653472861
"Light (20%)",2,0.1,0.1,91,2.5607315925118,3.09276584635435,-0.439268407488202,0.0927658463543466
"Light (20%)",2,0.1,0.1,92,2.60278631422807,2.83181683536635,-0.397213685771931,-0.16818316463365
"Light (20%)",2,0.1,0.1,93,2.58737716969309,3.28856766313805,-0.412622830306906,0.288567663138046
"Light (20%)",2,0.1,0.1,94,2.44102254607545,2.56328414993789,-0.558977453924554,-0.436715850062113
"Light (20%)",2,0.1,0.1,95,2.74604783485064,3.26350373319134,-0.253952165149358,0.263503733191344
"Light (20%)",2,0.1,0.1,96,2.67912041009525,3.32921836234502,-0.320879589904753,0.329218362345025
"Light (20%)",2,0.1,0.1,97,2.75287088080787,3.02619839725627,-0.247129119192129,0.0261983972562714
"Light (20%)",2,0.1,0.1,98,2.63364752757616,2.86511078919374,-0.366352472423837,-0.134889210806264
