"scenario","scenario_num","A","B","sim_num","km_est","hybrid_est","km_error","hybrid_error"
"No censoring",1,0,0,1,3.12269741257417,3.12269741257417,0.122697412574174,0.122697412574174
"No censoring",1,0,0,2,3.14181187253302,3.14181187253302,0.141811872533016,0.141811872533016
"No censoring",1,0,0,3,2.97489658291218,2.97489658291218,-0.0251034170878226,-0.0251034170878226
"No censoring",1,0,0,4,2.82759978387007,2.82759978387007,-0.172400216129927,-0.172400216129927
"No censoring",1,0,0,5,2.92196753282386,2.92196753282386,-0.0780324671761354,-0.0780324671761354
"No censoring",1,0,0,6,2.86077714138452,2.86077714138452,-0.139222858615478,-0.139222858615478
"No censoring",1,0,0,7,2.6995541383998,2.6995541383998,-0.300445861600199,-0.300445861600199
"No censoring",1,0,0,8,2.71301132910308,2.71301132910308,-0.286988670896916,-0.286988670896916
"No censoring",1,0,0,9,2.89136719953191,2.89136719953191,-0.108632800468087,-0.108632800468087
"No censoring",1,0,0,10,3.00239215442774,3.00239215442774,0.00239215442774432,0.00239215442774432
"No censoring",1,0,0,11,3.03126983429693,3.03126983429693,0.0312698342969298,0.0312698342969298
"No censoring",1,0,0,12,2.91324787415761,2.91324787415761,-0.0867521258423922,-0.0867521258423922
"No censoring",1,0,0,13,2.98640117710867,2.98640117710867,-0.0135988228913284,-0.0135988228913284
"No censoring",1,0,0,14,3.26803467820838,3.26803467820838,0.268034678208384,0.268034678208384
"No censoring",1,0,0,15,2.98939561634152,2.98939561634152,-0.0106043836584813,-0.0106043836584813
"No censoring",1,0,0,16,2.82175649718665,2.82175649718665,-0.178243502813349,-0.178243502813349
"No censoring",1,0,0,17,2.96920548244304,2.96920548244304,-0.0307945175569593,-0.0307945175569593
"No censoring",1,0,0,18,3.08352872320235,3.08352872320235,0.0835287232023463,0.0835287232023463
"No censoring",1,0,0,19,3.17049535758641,3.17049535758641,0.170495357586409,0.170495357586409
"No censoring",1,0,0,20,2.97529312972796,2.97529312972796,-0.0247068702720354,-0.0247068702720354
"No censoring",1,0,0,21,2.90702003901506,2.90702003901506,-0.0929799609849367,-0.0929799609849367
"No censoring",1,0,0,22,2.96023461512061,2.96023461512061,-0.0397653848793893,-0.0397653848793893
"No censoring",1,0,0,23,2.95578778430471,2.95578778430471,-0.0442122156952922,-0.0442122156952922
"No censoring",1,0,0,24,2.8056894184766,2.8056894184766,-0.194310581523397,-0.194310581523397
"No censoring",1,0,0,25,3.16427204200536,3.16427204200536,0.164272042005361,0.164272042005361
"No censoring",1,0,0,26,2.87343439384945,2.87343439384945,-0.126565606150549,-0.126565606150549
"No censoring",1,0,0,27,3.26502501924034,3.26502501924034,0.265025019240336,0.265025019240336
"No censoring",1,0,0,28,3.0043511973313,3.0043511973313,0.00435119733130174,0.00435119733130174
"No censoring",1,0,0,29,2.91226222981933,2.91226222981933,-0.087737770180671,-0.087737770180671
"No censoring",1,0,0,30,2.93288055089868,2.93288055089868,-0.0671194491013223,-0.0671194491013223
"No censoring",1,0,0,31,3.26843387637789,3.26843387637789,0.268433876377893,0.268433876377893
"No censoring",1,0,0,32,3.11094374454644,3.11094374454644,0.110943744546443,0.110943744546443
"No censoring",1,0,0,33,3.20629113243766,3.20629113243766,0.206291132437658,0.206291132437658
"No censoring",1,0,0,34,2.84151744434242,2.84151744434242,-0.158482555657578,-0.158482555657578
"No censoring",1,0,0,35,3.08520657799043,3.08520657799043,0.0852065779904274,0.0852065779904274
"No censoring",1,0,0,36,3.09169041478685,3.09169041478685,0.0916904147868549,0.0916904147868549
"No censoring",1,0,0,37,3.08080259223718,3.08080259223718,0.080802592237176,0.080802592237176
"No censoring",1,0,0,38,2.8738132009589,2.8738132009589,-0.126186799041104,-0.126186799041104
"No censoring",1,0,0,39,3.12597515760827,3.12597515760827,0.125975157608271,0.125975157608271
"No censoring",1,0,0,40,3.19598084728091,3.19598084728091,0.195980847280914,0.195980847280914
"No censoring",1,0,0,41,3.03060532898747,3.03060532898747,0.0306053289874653,0.0306053289874653
"No censoring",1,0,0,42,2.82592524153678,2.82592524153678,-0.174074758463223,-0.174074758463223
"No censoring",1,0,0,43,3.06651290776282,3.06651290776282,0.0665129077628248,0.0665129077628248
"No censoring",1,0,0,44,3.03479258186382,3.03479258186382,0.0347925818638153,0.0347925818638153
"No censoring",1,0,0,45,2.92272249635836,2.92272249635836,-0.0772775036416404,-0.0772775036416404
"No censoring",1,0,0,46,2.94874313486077,2.94874313486077,-0.0512568651392327,-0.0512568651392327
"No censoring",1,0,0,47,3.11509837497399,3.11509837497399,0.115098374973994,0.115098374973994
"No censoring",1,0,0,48,3.36650962227179,3.36650962227179,0.366509622271791,0.366509622271791
"No censoring",1,0,0,49,3.02142738624466,3.02142738624466,0.0214273862446563,0.0214273862446563
"No censoring",1,0,0,50,3.12706580627578,3.12706580627578,0.127065806275781,0.127065806275781
"No censoring",1,0,0,51,2.72168131123149,2.72168131123149,-0.278318688768506,-0.278318688768506
"No censoring",1,0,0,52,2.84676748168072,2.84676748168072,-0.153232518319277,-0.153232518319277
"No censoring",1,0,0,53,2.99793202093194,2.99793202093194,-0.00206797906805622,-0.00206797906805622
"No censoring",1,0,0,54,3.03277563546151,3.03277563546151,0.0327756354615123,0.0327756354615123
"No censoring",1,0,0,55,3.13253153345711,3.13253153345711,0.132531533457108,0.132531533457108
"No censoring",1,0,0,56,2.95603856060855,2.95603856060855,-0.0439614393914454,-0.0439614393914454
"No censoring",1,0,0,57,2.95482932000903,2.95482932000903,-0.0451706799909681,-0.0451706799909681
